Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years,CPI
1970-01-01,24002.01,0.36,98.5,81.4,2283,8689,0.118,0,0,0,0,0,0,1970,37.9
1970-02-01,24170,0.36,98.3,81.1,2283,8689,0.117,0.006998997,0,-0.002030457,-0.003685504,0,0,1971,38.1
1970-03-01,24296,0.36,100.6,80.7,2283,8689,0.124,0.012248558,0,0.021319797,-0.008599509,0,0,1972,38.3
1970-04-01,24400.99,0.36,101.1,79.3,2283,8689,0.133,0.016622775,0,0.026395939,-0.025798526,0,0,1973,38.5
1970-05-01,24589.99,0.36,100.7,79.4,2283,8689,0.124,0.024497115,0,0.022335025,-0.024570025,0,0,1974,38.6
1970-06-01,24757.98,0.36,99.8,79.4,2283,8689,0.123,0.031496112,0,0.01319797,-0.024570025,0,0,1975,38.8
1970-07-01,24820.98,0.36,102,80,2283,8689,0.135,0.034120892,0,0.035532995,-0.017199017,0,0,1976,38.9
1970-08-01,25051.97,0.36,101.7,79.1,2283,8689,0.134,0.04374467,0,0.03248731,-0.028255528,0,0,1977,39
1970-09-01,25303.96,0.36,100.2,76.1,2283,8689,0.129,0.054243374,0,0.017258883,-0.065110565,0,0,1978,39.2
1970-10-01,25429.95,0.36,99.3,74,2283,8689,0.131,0.059492518,0,0.008121827,-0.090909091,0,0,1979,39.4
1970-11-01,25576.95,0.36,99.1,70.2,2283,8689,0.136,0.065617005,0,0.006091371,-0.137592138,0,0,1980,39.6
1970-12-01,25723.94,0.36,98,67.9,2283,8689,0.132,0.071741075,0,-0.005076142,-0.165847666,0,0,1981,39.8
1971-01-01,25786.94,0.36,98.8,67.9,2539,8965,0.133,0.074365855,0,0.003045685,-0.165847666,0.112133158,0.0317643,1982,39.9
1971-02-01,25723.94,0.36,102.9,68.9,2539,8965,0.133,0.071741075,0,0.044670051,-0.153562654,0.112133158,0.0317643,1983,39.9
1971-03-01,25723.94,0.36,104,69.4,2539,8965,0.135,0.071741075,0,0.055837563,-0.147420147,0.112133158,0.0317643,1984,40
1971-04-01,25807.94,0.36,105.8,68.2,2539,8965,0.132,0.075240782,0,0.074111675,-0.162162162,0.112133158,0.0317643,1985,40.1
1971-05-01,25996.93,0.36,106.8,67.7,2539,8965,0.136,0.083114706,0,0.084263959,-0.168304668,0.112133158,0.0317643,1986,40.3
1971-06-01,26269.92,0.36,107.6,69.1,2539,8965,0.147,0.094488337,0,0.092385787,-0.151105651,0.112133158,0.0317643,1987,40.5
1971-07-01,26311.92,0.36,106.8,70.9,2539,8965,0.138,0.09623819,0,0.084263959,-0.128992629,0.112133158,0.0317643,1988,40.6
1971-08-01,26395.91,0.36,107.7,71.1,2539,8965,0.136,0.09973748,0,0.093401015,-0.126535627,0.112133158,0.0317643,1989,40.7
1971-09-01,26458.91,0.36,108,70.5,2539,8965,0.133,0.10236226,0,0.096446701,-0.133906634,0.112133158,0.0317643,1990,40.8
1971-10-01,26542.91,0.36,107.2,70.8,2539,8965,0.133,0.105861967,0,0.088324873,-0.13022113,0.112133158,0.0317643,1991,40.9
1971-11-01,26752.9,0.36,108.5,70.9,2539,8965,0.131,0.114610818,0,0.101522843,-0.128992629,0.112133158,0.0317643,1992,41
1971-12-01,26815.9,0.36,110.8,72.4,2539,8965,0.13,0.117235598,0,0.124873096,-0.110565111,0.112133158,0.0317643,1993,41.1
1972-01-01,26899.89,0.36,114,75.8,2783,9624,0.125,0.120734888,0,0.157360406,-0.068796069,0.219010074,0.10760732,1994,41.2
1972-02-01,26962.89,0.36,118.4,80.8,2783,9624,0.128,0.123359669,0,0.202030457,-0.007371007,0.219010074,0.10760732,1995,41.4
1972-03-01,26941.89,0.36,118.5,78.9,2783,9624,0.118,0.122484742,0,0.203045685,-0.030712531,0.219010074,0.10760732,1996,41.4
1972-04-01,26983.89,0.36,114.6,77.7,2783,9624,0.115,0.124234595,0,0.163451777,-0.045454545,0.219010074,0.10760732,1997,41.5
1972-05-01,27067.88,0.36,114.1,78.9,2783,9624,0.117,0.127733886,0,0.158375635,-0.030712531,0.219010074,0.10760732,1998,41.6
1972-06-01,27235.88,0.36,116.3,81.5,2783,9624,0.117,0.134733299,0,0.18071066,0.001228501,0.219010074,0.10760732,1999,41.7
1972-07-01,27508.87,0.36,120.2,85.1,2783,9624,0.117,0.14610693,0,0.220304569,0.045454545,0.219010074,0.10760732,2000,41.8
1972-08-01,27613.86,0.36,118.7,85.5,2783,9624,0.12,0.150481147,0,0.205076142,0.05036855,0.219010074,0.10760732,2001,41.9
